train_sub,test_sub,task,diff_sub,same_sub,OS_TPV,OS_RPV,SS_TPV,SS_RPV
MSC07,MSC04,motor,0.9055555555555556,0.9444444444444444,0.9474747474747475,0.8904761904761905,,0.9444444444444444
MSC07,MSC04,mem,0.915,1.0,0.9435897435897436,0.9151515151515152,1.0,1.0
MSC07,MSC05,glass,0.5,0.85,,0.5,,0.85
MSC07,MSC05,semantic,0.5,1.0,,0.5,1.0,1.0
MSC07,MSC05,motor,0.8444444444444444,0.9444444444444444,1.0,0.7684907684907685,,0.9444444444444444
MSC07,MSC05,mem,0.975,1.0,1.0,0.9575757575757575,1.0,1.0
MSC07,MSC06,glass,0.5263157894736842,0.85,,0.5263157894736842,,0.85
MSC07,MSC06,semantic,0.545,1.0,,0.5236842105263158,1.0,1.0
MSC07,MSC06,motor,0.8128654970760234,0.9444444444444444,1.0,0.7415547415547415,,0.9444444444444444
MSC07,MSC06,mem,0.97,1.0,1.0,0.946969696969697,1.0,1.0
MSC07,MSC10,glass,0.5,0.85,,0.5,,0.85
MSC07,MSC10,semantic,0.5,1.0,,0.5,1.0,1.0
MSC07,MSC10,motor,0.9222222222222222,0.9444444444444444,1.0,0.867003367003367,,0.9444444444444444
MSC07,MSC10,mem,0.9349999999999999,1.0,0.8863636363636364,1.0,1.0,1.0
MSC10,MSC01,glass,0.76,0.85,0.9607142857142857,0.6960164835164835,,0.85
MSC10,MSC01,semantic,0.945,0.9,0.990909090909091,0.9106060606060606,,0.9
MSC10,MSC01,motor,0.94,0.95,1.0,0.8981351981351982,,0.95
MSC10,MSC01,mem,0.89,0.95,0.8366966366966367,1.0,,0.95
MSC10,MSC02,glass,0.53,0.85,,0.5163742690058479,,0.85
MSC10,MSC02,semantic,0.645,0.9,1.0,0.5857843137254902,,0.9
MSC10,MSC02,motor,0.85,0.95,1.0,0.7766025641025641,,0.95
MSC10,MSC02,mem,0.825,0.95,0.7511978217860571,1.0,,0.95
MSC10,MSC03,glass,0.555,0.85,,0.531781905744754,,0.85
MSC10,MSC03,semantic,0.805,0.9,0.9875,0.7248168498168498,,0.9
