sub,session,task,rt,corr
MSC01,Session 5,random,771,corr
MSC01,Session 5,coherent,758,corr
MSC01,Session 5,coherent,758,corr
MSC01,Session 5,coherent,986,corr
MSC01,Session 5,random,842,corr
MSC01,Session 5,coherent,795,corr
MSC01,Session 5,coherent,873,corr
MSC01,Session 5,coherent,899,corr
MSC01,Session 5,random,935,corr
MSC01,Session 5,coherent,824,corr
MSC01,Session 5,random,842,corr
MSC01,Session 5,random,804,corr
MSC01,Session 6,Verb,1769,corr
MSC01,Session 6,Verb,879,corr
MSC01,Session 6,Verb,1710,err
MSC01,Session 6,Noun,1702,corr
MSC01,Session 6,Noun,1435,corr
MSC01,Session 6,Noun,1268,corr
MSC01,Session 6,Noun,1524,corr
MSC01,Session 6,Verb,1396,corr
MSC01,Session 6,Noun,922,corr
MSC01,Session 6,Noun,1062,corr
MSC01,Session 6,Noun,1362,corr
MSC01,Session 6,Verb,829,corr
MSC01,Session 6,Verb,1248,corr
MSC01,Session 6,Verb,1504,corr
MSC01,Session 6,Verb,1155,corr
MSC01,Session 6,Noun,1177,corr
MSC01,Session 6,Verb,1058,corr
MSC01,Session 6,Noun,1173,corr
MSC01,Session 6,Verb,1106,corr
MSC01,Session 6,Noun,1401,corr
MSC01,Session 6,Noun,1238,corr
MSC01,Session 6,Verb,934,corr
MSC01,Session 6,Verb,1567,corr
MSC01,Session 6,Noun,1818,corr
MSC01,Session 6,Noun,1024,corr
MSC01,Session 6,Noun,1907,corr
MSC01,Session 6,Noun,1228,corr
MSC01,Session 6,Verb,1050,corr
MSC01,Session 6,Verb,1115,err
MSC01,Session 6,Verb,2183,corr
MSC01,Session 6,coherent,958,corr
MSC01,Session 6,coherent,829,corr
MSC01,Session 6,coherent,1009,corr
MSC01,Session 6,coherent,935,err
MSC01,Session 6,random,915,corr
MSC01,Session 6,random,859,corr
MSC01,Session 6,random,895,corr
MSC01,Session 6,random,741,corr
MSC01,Session 6,random,849,corr
MSC01,Session 6,random,846,corr
MSC01,Session 6,coherent,1064,err
MSC01,Session 6,coherent,1109,corr
MSC01,Session 6,coherent,710,corr
MSC01,Session 6,random,1064,corr
MSC01,Session 6,random,1108,corr
MSC01,Session 6,coherent,914,corr
MSC01,Session 6,random,948,corr
MSC01,Session 6,coherent,1316,corr
MSC01,Session 6,coherent,1054,corr
MSC01,Session 6,coherent,1152,corr
MSC01,Session 6,random,1084,corr
MSC01,Session 6,random,912,corr
MSC01,Session 6,coherent,964,corr
MSC01,Session 6,random,1196,corr
MSC01,Session 6,coherent,936,corr
MSC01,Session 6,random,920,corr
MSC01,Session 6,coherent,1211,corr
MSC01,Session 6,random,851,corr
MSC01,Session 6,coherent,962,corr
MSC01,Session 6,random,837,corr
MSC01,Session 6,coherent,781,corr
MSC01,Session 6,coherent,1021,corr
MSC01,Session 6,random,1154,corr
MSC01,Session 6,random,1375,corr
MSC01,Session 6,random,863,corr
MSC01,Session 6,random,911,corr
MSC01,Session 6,coherent,752,corr
MSC01,Session 6,coherent,1298,err
MSC01,Session 6,random,772,corr
MSC01,Session 6,coherent,781,corr
MSC01,Session 6,coherent,1377,corr
MSC01,Session 6,coherent,829,err
MSC01,Session 6,coherent,799,corr
MSC01,Session 6,random,923,corr
MSC01,Session 6,random,813,corr
MSC01,Session 6,random,863,corr
MSC01,Session 6,random,1336,corr
MSC01,Session 6,random,918,corr
MSC01,Session 6,random,915,corr
MSC01,Session 6,coherent,1042,corr
MSC01,Session 6,coherent,943,corr
MSC01,Session 6,coherent,930,corr
MSC01,Session 6,random,969,corr
MSC01,Session 6,coherent,953,corr
MSC01,Session 6,coherent,1124,corr
MSC01,Session 6,coherent,950,corr
MSC01,Session 6,random,998,corr
MSC01,Session 6,coherent,832,corr
