sub,sess,rating,rt,corr
MSC01,Session 1,Concrete,1075,corr
MSC01,Session 1,Concrete,704,corr
MSC01,Session 1,Concrete,708,corr
MSC01,Session 1,Abstract,821,corr
MSC01,Session 1,Abstract,885,corr
MSC01,Session 1,Abstract,1449,err
MSC01,Session 1,Concrete,1230,corr
MSC01,Session 1,Concrete,1041,corr
MSC01,Session 1,Concrete,1020,corr
MSC01,Session 1,Concrete,913,corr
MSC01,Session 1,Concrete,830,corr
MSC01,Session 1,Concrete,644,corr
MSC01,Session 1,Concrete,1217,corr
MSC01,Session 1,Concrete,952,corr
MSC01,Session 1,Concrete,584,corr
MSC01,Session 1,Abstract,1073,corr
MSC01,Session 1,Abstract,965,corr
MSC01,Session 1,Abstract,870,corr
MSC01,Session 2 ,female,1246,corr
MSC01,Session 2 ,female,999,corr
MSC01,Session 2 ,female,819,corr
MSC01,Session 2 ,male,778,corr
MSC01,Session 2 ,male,920,corr
MSC01,Session 2 ,male,638,corr
MSC01,Session 2 ,male,1057,corr
MSC01,Session 2 ,male,937,corr
MSC01,Session 2 ,male,985,corr
MSC01,Session 2 ,male,957,corr
MSC01,Session 2 ,male,852,corr
MSC01,Session 2 ,male,1096,corr
MSC01,Session 2 ,male,975,corr
MSC01,Session 2 ,male,930,corr
MSC01,Session 2 ,male,1242,corr
MSC01,Session 2 ,male,965,corr
MSC01,Session 2 ,male,890,corr
MSC01,Session 2 ,male,773,corr
MSC01,Session 2 ,male,1023,corr
MSC01,Session 2 ,male,979,corr
MSC01,Session 2 ,male,813,corr
MSC01,Session 2 ,male,804,corr
MSC01,Session 2 ,male,1267,corr
MSC01,Session 2 ,male,1436,corr
MSC01,Session 2 ,male,949,corr
MSC01,Session 2 ,male,876,corr
MSC01,Session 2 ,male,1116,corr
MSC01,Session 2 ,male,940,corr
MSC01,Session 2 ,male,987,corr
MSC01,Session 2 ,male,1017,corr
MSC01,Session 2 ,male,1425,corr
MSC01,Session 2 ,male,831,corr
MSC01,Session 2 ,male,1063,corr
MSC01,Session 2 ,male,881,corr
MSC01,Session 2 ,male,935,corr
MSC01,Session 2 ,male,979,corr
MSC01,Session 2 ,male,929,corr
MSC01,Session 2 ,male,1036,corr
MSC01,Session 2 ,male,1321,corr
MSC01,Session 2 ,female,936,corr
MSC01,Session 2 ,female,755,corr
MSC01,Session 2 ,female,719,corr
MSC01,Session 2 ,female,1101,corr
MSC01,Session 2 ,female,1006,corr
MSC01,Session 2 ,female,774,corr
MSC01,Session 2 ,female,1149,corr
MSC01,Session 2 ,female,954,corr
MSC01,Session 2 ,female,805,corr
MSC01,Session 2 ,female,1246,corr
MSC01,Session 2 ,female,1248,corr
MSC01,Session 2 ,female,823,corr
MSC01,Session 2 ,female,1259,corr
MSC01,Session 2 ,female,784,corr
MSC01,Session 2 ,female,742,corr
MSC01,Session 2 ,female,1065,corr
MSC01,Session 2 ,female,829,corr
MSC01,Session 2 ,female,807,corr
MSC01,Session 2 ,female,1122,corr
MSC01,Session 2 ,female,906,corr
MSC01,Session 2 ,female,1110,corr
MSC01,Session 2 ,female,806,corr
MSC01,Session 2 ,female,1084,corr
MSC01,Session 2 ,female,1265,corr
MSC01,Session 2 ,female,1015,corr
MSC01,Session 2 ,female,1108,corr
MSC01,Session 2 ,female,909,corr
MSC01,Session 2 ,female,846,corr
MSC01,Session 2 ,female,1028,corr
MSC01,Session 2 ,female,1002,corr
MSC01,Session 2 ,female,948,corr
MSC01,Session 2 ,female,981,corr
MSC01,Session 2 ,female,942,corr
MSC01,Session 2 ,indoor,936,corr
MSC01,Session 2 ,indoor,889,corr
MSC01,Session 2 ,indoor,1254,corr
MSC01,Session 2 ,indoor,750,corr
MSC01,Session 2 ,indoor,1074,corr
MSC01,Session 2 ,indoor,849,corr
MSC01,Session 2 ,indoor,865,corr
MSC01,Session 2 ,indoor,802,corr
MSC01,Session 2 ,indoor,702,corr
MSC01,Session 2 ,outdoor,923,corr
MSC01,Session 2 ,outdoor,1220,corr
MSC01,Session 2 ,outdoor,1430,corr
MSC01,Session 2 ,outdoor,1064,corr
MSC01,Session 2 ,outdoor,924,corr
MSC01,Session 2 ,outdoor,992,corr
MSC01,Session 2 ,outdoor,864,corr
MSC01,Session 2 ,outdoor,912,corr
MSC01,Session 2 ,outdoor,1151,corr
MSC01,Session 2 ,outdoor,1205,corr
MSC01,Session 2 ,outdoor,1376,corr
MSC01,Session 2 ,outdoor,704,corr
MSC01,Session 2 ,outdoor,1093,corr
MSC01,Session 2 ,outdoor,1205,corr
MSC01,Session 2 ,outdoor,739,corr
MSC01,Session 2 ,indoor,1004,corr
MSC01,Session 2 ,indoor,884,corr
MSC01,Session 2 ,indoor,719,corr
MSC01,Session 2 ,outdoor,745,corr
MSC01,Session 2 ,outdoor,963,corr
MSC01,Session 2 ,outdoor,952,corr
MSC01,Session 2 ,outdoor,926,corr
MSC01,Session 2 ,outdoor,768,corr
MSC01,Session 2 ,outdoor,688,corr
MSC01,Session 2 ,outdoor,1149,corr
MSC01,Session 2 ,outdoor,1361,corr
MSC01,Session 2 ,outdoor,860,corr
MSC01,Session 2 ,outdoor,770,corr
MSC01,Session 2 ,outdoor,832,corr
MSC01,Session 2 ,outdoor,732,corr
MSC01,Session 2 ,indoor,1137,corr
MSC01,Session 2 ,indoor,677,corr
MSC01,Session 2 ,indoor,654,corr
MSC01,Session 2 ,indoor,924,corr
MSC01,Session 2 ,indoor,994,corr
MSC01,Session 2 ,indoor,1694,corr
MSC01,Session 2 ,outdoor,1203,corr
MSC01,Session 2 ,outdoor,1333,corr
MSC01,Session 2 ,outdoor,1395,corr
MSC01,Session 2 ,outdoor,1062,corr
MSC01,Session 2 ,outdoor,1279,corr
MSC01,Session 2 ,outdoor,823,corr
MSC01,Session 2 ,indoor,989,corr
MSC01,Session 2 ,indoor,732,corr
MSC01,Session 2 ,indoor,570,corr
MSC01,Session 2 ,indoor,982,corr
MSC01,Session 2 ,indoor,918,corr
MSC01,Session 2 ,indoor,985,corr
MSC01,Session 2 ,indoor,1569,err
MSC01,Session 2 ,indoor,1236,corr
MSC01,Session 2 ,indoor,906,corr
MSC01,Session 2 ,outdoor,1008,corr
MSC01,Session 2 ,outdoor,1068,corr
MSC01,Session 2 ,outdoor,728,corr
MSC01,Session 2 ,indoor,1048,corr
MSC01,Session 2 ,indoor,881,corr
MSC01,Session 2 ,indoor,1013,corr
MSC01,Session 2 ,indoor,949,corr
MSC01,Session 2 ,indoor,840,corr
MSC01,Session 2 ,indoor,896,corr
MSC01,Session 2 ,indoor,1053,corr
MSC01,Session 2 ,indoor,730,corr
MSC01,Session 2 ,indoor,772,corr
MSC01,Session 2 ,Concrete,1388,corr
MSC01,Session 2 ,Concrete,1048,corr
MSC01,Session 2 ,Concrete,865,corr
MSC01,Session 2 ,Abstract,1202,corr
MSC01,Session 2 ,Abstract,1268,corr
MSC01,Session 2 ,Abstract,1420,corr
MSC01,Session 2 ,Abstract,1026,corr
MSC01,Session 2 ,Abstract,1827,corr
MSC01,Session 2 ,Abstract,987,corr
MSC01,Session 2 ,Concrete,912,corr
MSC01,Session 2 ,Concrete,622,corr
MSC01,Session 2 ,Concrete,817,corr
MSC01,Session 2 ,Abstract,1096,corr
MSC01,Session 2 ,Abstract,897,corr
MSC01,Session 2 ,Abstract,1373,corr
MSC01,Session 2 ,Abstract,1525,err
MSC01,Session 2 ,Abstract,1266,err
MSC01,Session 2 ,Abstract,1291,err
MSC01,Session 2 ,Abstract,1740,corr
