train_task,test_task,train_sub,test_sub,Analysis,acc
motor,semantic,MSC06,MSC02,Different Person,0.17777777777777778
motor,mem,MSC06,MSC02,Different Person,0.07777777777777778
mem,glass,MSC06,MSC02,Different Person,0.36
mem,semantic,MSC06,MSC02,Different Person,0.5
mem,motor,MSC06,MSC02,Different Person,0.19
glass,semantic,MSC06,MSC03,Different Person,0.044444444444444446
glass,motor,MSC06,MSC03,Different Person,0.0
glass,mem,MSC06,MSC03,Different Person,0.0
semantic,glass,MSC06,MSC03,Different Person,0.01
semantic,motor,MSC06,MSC03,Different Person,0.02
semantic,mem,MSC06,MSC03,Different Person,0.0375
motor,glass,MSC06,MSC03,Different Person,0.11111111111111112
motor,semantic,MSC06,MSC03,Different Person,0.11111111111111112
motor,mem,MSC06,MSC03,Different Person,0.05555555555555555
mem,glass,MSC06,MSC03,Different Person,0.3
mem,semantic,MSC06,MSC03,Different Person,0.69
mem,motor,MSC06,MSC03,Different Person,0.57
glass,semantic,MSC06,MSC04,Different Person,0.08888888888888889
glass,motor,MSC06,MSC04,Different Person,0.08888888888888889
glass,mem,MSC06,MSC04,Different Person,0.044444444444444446
semantic,glass,MSC06,MSC04,Different Person,0.21
semantic,motor,MSC06,MSC04,Different Person,0.19
semantic,mem,MSC06,MSC04,Different Person,0.09000000000000001
motor,glass,MSC06,MSC04,Different Person,0.18888888888888888
motor,semantic,MSC06,MSC04,Different Person,0.12222222222222222
motor,mem,MSC06,MSC04,Different Person,0.12222222222222222
mem,glass,MSC06,MSC04,Different Person,0.89
mem,semantic,MSC06,MSC04,Different Person,0.8200000000000001
mem,motor,MSC06,MSC04,Different Person,0.75
glass,semantic,MSC06,MSC05,Different Person,0.17777777777777778
glass,motor,MSC06,MSC05,Different Person,0.2
glass,mem,MSC06,MSC05,Different Person,0.03333333333333333
semantic,glass,MSC06,MSC05,Different Person,0.04
semantic,motor,MSC06,MSC05,Different Person,0.01
semantic,mem,MSC06,MSC05,Different Person,0.21
motor,glass,MSC06,MSC05,Different Person,0.0
motor,semantic,MSC06,MSC05,Different Person,0.07777777777777778
motor,mem,MSC06,MSC05,Different Person,0.022222222222222223
mem,glass,MSC06,MSC05,Different Person,0.2
mem,semantic,MSC06,MSC05,Different Person,0.64
mem,motor,MSC06,MSC05,Different Person,0.5
glass,semantic,MSC06,MSC07,Different Person,0.12222222222222223
glass,motor,MSC06,MSC07,Different Person,0.14814814814814814
glass,mem,MSC06,MSC07,Different Person,0.07777777777777778
semantic,glass,MSC06,MSC07,Different Person,0.32
semantic,motor,MSC06,MSC07,Different Person,0.2222222222222222
semantic,mem,MSC06,MSC07,Different Person,0.24
motor,glass,MSC06,MSC07,Different Person,0.15555555555555556
motor,semantic,MSC06,MSC07,Different Person,0.2111111111111111
motor,mem,MSC06,MSC07,Different Person,0.2111111111111111
mem,glass,MSC06,MSC07,Different Person,0.98
mem,semantic,MSC06,MSC07,Different Person,0.99
mem,motor,MSC06,MSC07,Different Person,0.9333333333333333
glass,semantic,MSC06,MSC10,Different Person,0.23333333333333334
glass,motor,MSC06,MSC10,Different Person,0.14444444444444446
glass,mem,MSC06,MSC10,Different Person,0.2
semantic,glass,MSC06,MSC10,Different Person,0.27
semantic,motor,MSC06,MSC10,Different Person,0.17
semantic,mem,MSC06,MSC10,Different Person,0.42
motor,glass,MSC06,MSC10,Different Person,0.1111111111111111
motor,semantic,MSC06,MSC10,Different Person,0.18888888888888888
motor,mem,MSC06,MSC10,Different Person,0.3
mem,glass,MSC06,MSC10,Different Person,0.81
mem,semantic,MSC06,MSC10,Different Person,0.8
mem,motor,MSC06,MSC10,Different Person,0.87
glass,semantic,MSC07,MSC01,Different Person,0.31
glass,motor,MSC07,MSC01,Different Person,0.02
glass,mem,MSC07,MSC01,Different Person,0.0
semantic,glass,MSC07,MSC01,Different Person,0.08
semantic,motor,MSC07,MSC01,Different Person,0.01
semantic,mem,MSC07,MSC01,Different Person,0.0
motor,glass,MSC07,MSC01,Different Person,0.2
motor,semantic,MSC07,MSC01,Different Person,0.3333333333333333
motor,mem,MSC07,MSC01,Different Person,0.28888888888888886
mem,glass,MSC07,MSC01,Different Person,0.97
mem,semantic,MSC07,MSC01,Different Person,1.0
mem,motor,MSC07,MSC01,Different Person,0.99
glass,semantic,MSC07,MSC02,Different Person,0.1
glass,motor,MSC07,MSC02,Different Person,0.0
glass,mem,MSC07,MSC02,Different Person,0.0
semantic,glass,MSC07,MSC02,Different Person,0.0
semantic,motor,MSC07,MSC02,Different Person,0.0
semantic,mem,MSC07,MSC02,Different Person,0.0
motor,glass,MSC07,MSC02,Different Person,0.07777777777777778
