train_task,test_task,train_sub,test_sub,diff_sub,same_sub,OS_TPV,OS_RPV,SS_TPV,SS_RPV
pres3,pres2,MSC04,MSC03,0.8611111111111112,0.85,0.9714285714285714,0.8110722610722612,,0.85
pres1,pres2,MSC04,MSC05,0.535,0.9,,0.5187134502923977,,0.9
pres1,pres3,MSC04,MSC05,0.5,0.9,,0.5,,0.9
pres2,pres1,MSC04,MSC05,0.54,0.8,,0.5213450292397661,,0.8
pres2,pres3,MSC04,MSC05,0.525,0.8,,0.5137426900584795,,0.8
pres3,pres1,MSC04,MSC05,0.67,0.85,1.0,0.6076619244188903,,0.85
pres3,pres2,MSC04,MSC05,0.66,0.85,1.0,0.6000405425328026,,0.85
pres1,pres2,MSC04,MSC06,0.655,0.9,1.0,0.5923202614379085,,0.9
pres1,pres3,MSC04,MSC06,0.575,0.9,,0.5422084623323014,,0.9
pres2,pres1,MSC04,MSC06,0.545,0.8,,0.5251977984176126,,0.8
pres2,pres3,MSC04,MSC06,0.6,0.8,,0.5604102167182663,,0.8
pres3,pres1,MSC04,MSC06,0.755,0.85,1.0,0.6727564102564102,,0.85
pres3,pres2,MSC04,MSC06,0.75,0.85,1.0,0.6678571428571428,,0.85
pres1,pres2,MSC04,MSC07,0.635,0.9,1.0,0.5830814782053172,,0.9
pres1,pres3,MSC04,MSC07,0.5700000000000001,0.9,1.0,0.5380116959064327,,0.9
pres2,pres1,MSC04,MSC07,0.52,0.8,,0.5108187134502924,,0.8
pres2,pres3,MSC04,MSC07,0.505,0.8,,0.5026315789473684,,0.8
pres3,pres1,MSC04,MSC07,0.765,0.85,1.0,0.683470695970696,,0.85
pres3,pres2,MSC04,MSC07,0.87,0.85,1.0,0.7957875457875458,,0.85
pres1,pres2,MSC04,MSC10,0.735,0.9,1.0,0.6541666666666667,,0.9
pres1,pres3,MSC04,MSC10,0.8,0.9,1.0,0.7173992673992674,,0.9
pres2,pres1,MSC04,MSC10,0.75,0.8,1.0,0.6891117052881759,,0.8
pres2,pres3,MSC04,MSC10,0.685,0.8,1.0,0.6160364145658264,,0.8
pres3,pres1,MSC04,MSC10,0.87,0.85,1.0,0.799034299034299,,0.85
pres3,pres2,MSC04,MSC10,0.78,0.85,1.0,0.6952380952380952,,0.85
pres1,pres2,MSC05,MSC01,0.7,1.0,1.0,0.6325191750114351,1.0,1.0
pres1,pres3,MSC05,MSC01,0.745,1.0,1.0,0.6647759103641456,1.0,1.0
pres2,pres1,MSC05,MSC01,0.635,1.0,1.0,0.5812324929971989,1.0,1.0
pres2,pres3,MSC05,MSC01,0.69,1.0,1.0,0.6207688338493292,1.0,1.0
pres3,pres1,MSC05,MSC01,0.5,0.95,,0.5,,0.95
pres3,pres2,MSC05,MSC01,0.5,0.95,,0.5,,0.95
pres1,pres2,MSC05,MSC02,0.895,1.0,1.0,0.826923076923077,1.0,1.0
pres1,pres3,MSC05,MSC02,0.945,1.0,1.0,0.9015151515151515,1.0,1.0
pres2,pres1,MSC05,MSC02,0.8,1.0,1.0,0.7164835164835165,1.0,1.0
pres2,pres3,MSC05,MSC02,0.8150000000000001,1.0,1.0,0.7331501831501832,1.0,1.0
pres3,pres1,MSC05,MSC02,0.5,0.95,,0.5,,0.95
pres3,pres2,MSC05,MSC02,0.5,0.95,,0.5,,0.95
pres1,pres2,MSC05,MSC03,0.8888888888888888,1.0,1.0,0.8333333333333334,1.0,1.0
pres1,pres3,MSC05,MSC03,0.8888888888888888,1.0,1.0,0.8333333333333334,1.0,1.0
pres2,pres1,MSC05,MSC03,0.6833333333333333,1.0,1.0,0.6379901960784313,1.0,1.0
pres2,pres3,MSC05,MSC03,0.7388888888888889,1.0,1.0,0.680952380952381,1.0,1.0
pres3,pres1,MSC05,MSC03,0.5722222222222223,0.95,,0.565359477124183,,0.95
pres3,pres2,MSC05,MSC03,0.5555555555555556,0.95,,0.5555555555555556,,0.95
pres1,pres2,MSC05,MSC04,0.705,1.0,1.0,0.6301470588235294,1.0,1.0
