train_sub,test_sub,task,diff_sub,same_sub,OS_TPV,OS_RPV,SS_TPV,SS_RPV
MSC05,MSC06,mem,1.0,1.0,1.0,1.0,1.0,1.0
MSC05,MSC07,glass,0.645,0.95,1.0,0.5857198142414861,,0.95
MSC05,MSC07,semantic,0.84,0.95,1.0,0.7608058608058609,,0.95
MSC05,MSC07,motor,0.9473684210526315,1.0,0.9,1.0,1.0,1.0
MSC05,MSC07,mem,0.905,1.0,0.9288888888888889,0.886969696969697,1.0,1.0
MSC05,MSC10,glass,0.6749999999999999,0.95,0.9066666666666667,0.6141269841269841,,0.95
MSC05,MSC10,semantic,0.645,0.95,1.0,0.5869453044375645,,0.95
MSC05,MSC10,motor,0.905,1.0,0.91,0.9009090909090909,1.0,1.0
MSC05,MSC10,mem,0.9,1.0,0.9,0.9,1.0,1.0
MSC06,MSC01,glass,0.6222222222222222,0.8333333333333334,1.0,0.5704621029698429,,0.8333333333333334
MSC06,MSC01,semantic,0.945,0.95,1.0,0.9015151515151515,,0.95
MSC06,MSC01,motor,0.9722222222222222,1.0,1.0,0.9541569541569541,1.0,1.0
MSC06,MSC01,mem,1.0,1.0,1.0,1.0,1.0,1.0
MSC06,MSC02,glass,0.5222222222222223,0.8333333333333334,,0.5116959064327485,,0.8333333333333334
MSC06,MSC02,semantic,0.795,0.95,0.9875,0.7154761904761905,,0.95
MSC06,MSC02,motor,0.7055555555555555,1.0,1.0,0.631717501815541,1.0,1.0
MSC06,MSC02,mem,0.88,1.0,1.0,0.8086080586080586,1.0,1.0
MSC06,MSC03,glass,0.5,0.8333333333333334,,0.5,,0.8333333333333334
MSC06,MSC03,semantic,0.9199999999999999,0.95,0.9718181818181818,0.8845998445998446,,0.95
MSC06,MSC03,motor,0.95,1.0,1.0,0.9090909090909091,1.0,1.0
MSC06,MSC03,mem,0.9777777777777777,1.0,1.0,0.9636363636363636,1.0,1.0
MSC06,MSC04,glass,0.8111111111111111,0.8333333333333334,1.0,0.7331094831094831,,0.8333333333333334
MSC06,MSC04,semantic,0.9299999999999999,0.95,1.0,0.8868298368298368,,0.95
MSC06,MSC04,motor,1.0,1.0,1.0,1.0,1.0,1.0
MSC06,MSC04,mem,0.9199999999999999,1.0,1.0,0.8648018648018648,1.0,1.0
MSC06,MSC05,glass,0.5944444444444444,0.8333333333333334,,0.5537782364407752,,0.8333333333333334
MSC06,MSC05,semantic,0.885,0.95,1.0,0.8164335664335665,,0.95
MSC06,MSC05,motor,0.8222222222222222,1.0,1.0,0.7405372405372406,1.0,1.0
MSC06,MSC05,mem,0.94,1.0,1.0,0.8954545454545455,1.0,1.0
MSC06,MSC07,glass,0.6888888888888889,0.8333333333333334,1.0,0.6207525895348392,,0.8333333333333334
MSC06,MSC07,semantic,0.95,0.95,0.9587412587412587,0.9666666666666667,,0.95
MSC06,MSC07,motor,1.0,1.0,1.0,1.0,1.0,1.0
MSC06,MSC07,mem,0.98,1.0,0.9769230769230769,0.990909090909091,1.0,1.0
MSC06,MSC10,glass,0.7166666666666667,0.8333333333333334,1.0,0.6421149656443774,,0.8333333333333334
MSC06,MSC10,semantic,0.9249999999999999,0.95,0.99,0.879044289044289,,0.95
